Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km]
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (90PS) 3/5 Door Saloon,M5,1560,Diesel,5.6,3.8,4.5,50.4,74.3,62.8,118,1207.44076433121,4,71,0.178,,0.205,0.221,0.019
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (90PS) Estate,M5,1560,Diesel,5.6,3.8,4.5,50.4,74.3,62.8,118,1207.44076433121,4,71,0.178,,0.205,0.221,0.019
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (90PS) 3/5 Door Saloon (ECO),M5,1560,Diesel,5.5,3.6,4.3,51.4,78.5,65.7,114,1154.14429223744,4,71,0.204,,0.156,0.179,0.016
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (90PS) Estate (ECO),M5,1560,Diesel,5.5,3.6,4.3,51.4,78.5,65.7,114,1154.14429223744,4,71,0.204,,0.156,0.179,0.016
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (109PS) 3/4/5 Door Saloon (+DPF),M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,1207.44076433121,4,70,0.186,,0.188,0.208,0.002
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (109PS) Estate (+DPF),M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,1207.44076433121,4,70,0.186,,0.188,0.208,0.002
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (109PS) 3/5 Door Saloon (ECO +DPF),M5,1560,Diesel,5.6,3.6,4.3,50.4,78.5,65.7,115,1154.14429223744,4,70,0.018,,0.21,0.219,0
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (109PS) Estate (ECO +DPF),M5,1560,Diesel,5.6,3.6,4.3,50.4,78.5,65.7,115,1154.14429223744,4,70,0.018,,0.21,0.219,0
FORD,"Focus, Model Year Pre 2010¼",1.8 Duratorq TDCi (115PS) 3/5 Door Saloon,M5,1753,Diesel,6.7,4.3,5.2,42.2,65.7,54.3,137,1396.45082872928,4,71,0.346,,0.246,0.29,0.012
FORD,"Focus, Model Year Pre 2010¼",1.8 Duratorq TDCi (115PS) 4 Door Saloon,M5,1753,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,4,71,0.346,,0.246,0.29,0.012
FORD,"Focus, Model Year Pre 2010¼",1.8 Duratorq TDCi (115PS) Estate,M5,1753,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,4,71,0.346,,0.246,0.29,0.012
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq (110PS) 3/4/5 Door Saloon (+DPF),A6,1997,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,154,1557.02833675565,4,68,0.049,,0.202,0.211,0.001
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq (110PS) Estate (+DPF),A6,1997,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,154,1557.02833675565,4,68,0.049,,0.202,0.211,0.001
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) 3/5 Door Saloon,M6,1997,Diesel,7,4.5,5.5,40.4,62.8,51.4,144,1475.23891050584,4,72,0.257,,0.14,0.167,0.02
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) 4 Door Saloon,M6,1997,Diesel,7.2,4.6,5.6,39.2,61.4,50.4,147,1504.50952380952,4,72,0.257,,0.14,0.167,0.02
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) Estate,M6,1997,Diesel,7.2,4.6,5.6,39.2,61.4,50.4,147,1504.50952380952,4,72,0.257,,0.14,0.167,0.02
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) 3/5 Door Saloon (+DPF),M6,1997,Diesel,7,4.5,5.5,40.4,62.8,51.4,144,1475.23891050584,4,72,0.056,,0.208,0.22,0.003
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) 4 Door Saloon (+DPF),M6,1997,Diesel,7.2,4.6,5.6,39.2,61.4,50.4,147,1504.50952380952,4,72,0.056,,0.208,0.22,0.003
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) Estate (+DPF),M6,1997,Diesel,7.2,4.6,5.6,39.2,61.4,50.4,147,1504.50952380952,4,72,0.056,,0.208,0.22,0.003
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) 3/4/5 Door Saloon (+DPF),A6,1997,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,154,1557.02833675565,4,68,0.049,,0.202,0.211,0.001
