Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
AUDI,A4 Saloon,2.0 TDIe 136PS with Stop-Start 2 ( Limited Equipment ),M6,1968,Diesel,5.8,3.8,4.6,48.7,74.3,61.4,119,1234.97198697068,5,72,192,,164,181,1.2
AUDI,A4 Saloon,"2.0 TDIe 136PS with Stop-Start 3 (16""+17"" Wheel Rim Only )",M6,1968,Diesel,5.8,3.8,4.6,48.7,74.3,61.4,120,1234.97198697068,5,72,290,,139,179,1.3
AUDI,A4 Saloon,2.0 CR TDIe 136PS Stop-Start (Limited Equipment),M6,1968,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,115,1234.97198697068,5,72,171,,149,166,1
AUDI,A4 Saloon,2.0 TDI 143PS Multitronic,AV,1968,Diesel,7.3,4.8,5.7,38.7,58.9,49.6,149,1528.77580645161,5,72,100,,110,122,0.7
AUDI,A4 Saloon,2.0 CR TDI 170PS with Stop-Start,M6,1968,Diesel,6.2,4.4,5.1,45.6,64.2,55.4,134,1368.72346570397,5,73,248,,149,177,0
AUDI,A4 Saloon,2.0 CR TDI quattro 170PS with Stop-Start,QM6,1968,Diesel,6.9,4.7,5.5,40.9,60.1,51.4,145,1475.23891050584,5,73,278,,140,177,0.5
AUDI,A4 Saloon,2.0 TFSI 211PS with Stop-Start,M6,1984,Petrol,8.3,5.3,6.4,34,53.3,44.1,149,1645.21904761905,5,74,239,28,23,,
AUDI,A4 Saloon,2.0 TFSI 211PS Multitronic,AV,1984,Petrol,9.4,5.7,7.1,30.1,49.6,39.8,167,1822.96884422111,5,73,630,54,46,,
AUDI,A4 Saloon,2.0 TFSI 211PS quattro with Stop-Start,QM6,1984,Petrol,9.7,5.8,7.3,29.1,48.7,38.7,169,1874.78449612403,5,74,364,52,46,,
AUDI,A4 Saloon,2.0 TFSI quattro 211PS S-Tronic,D7,1984,Petrol,9.4,6.4,7.5,30.1,44.1,37.7,175,1924.51352785146,5,74,525,53,45,,
AUDI,A4 Saloon,2.7 V6 TDI 190PS Multitronic,AV,2697,Diesel,7.9,5.5,6.4,35.8,51.4,44.1,167,1719.43945578231,5,72,258,,154,182,0.9
AUDI,A4 Saloon,3.0 V6 TDI 240PS quattro,QM6,2967,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,173,1771.66542056075,5,74,239,,159,194,0.5
AUDI,A4 Saloon,3.0 V6 TDI 240PS quattro S-Tronic,D6,2967,Diesel,8.3,5.7,6.6,34,49.6,42.8,174,1771.66542056075,5,74,208,,165,184,0.9
AUDI,A4 Saloon,S4 3.0 V6 333PS quattro ,QM6,2967,Petrol,14,7.6,10,20.2,37.2,28.2,234,2572.84255319149,5,75,683,51,44,,
AUDI,A4 Saloon,S4 3.0 V6 333PS quattro S-Tronic ,D6,2967,Petrol,13.5,7,9.4,20.9,40.4,30.1,219,2410.43720930233,5,74,392,70,60,,
AUDI,A4 Saloon,3.2 V6 265PS Multitronic,AV,3197,Petrol,11.6,6.2,8.2,24.4,45.6,34.4,192,2109.13255813953,5,74,245,60,53,,
AUDI,A4 Saloon,3.2 V6 265PS quattro Tiptonic,QA6,3197,Petrol,13.1,7,9.3,21.6,40.4,30.4,215,2386.65,5,70,156,39,33,,
AUDI,A4 Saloon,3.2 V6 265PS quattro,QM6,3197,Petrol,13.4,6.7,9.1,21.1,42.2,31,214,2340.45677419355,5,74,314,43,36,,
AUDI,A4 Avant,1.8 TFSI 120PS,M6,1798,Petrol,9.6,5.8,7.2,29.4,48.7,39.2,169,1850.87142857143,5,73,310,46,36,,
AUDI,A4 Avant,1.8 FSI 160PS,M6,1798,Petrol,9.6,5.8,7.2,29.4,48.7,39.2,169,1850.87142857143,5,73,310,46,36,,
AUDI,A4 Avant,1.8 FSI 160PS Multitronic,AV,1798,Petrol,9.6,6.3,7.5,29.4,44.8,37.7,174,1924.51352785146,5,74,490,45,40,,
AUDI,A4 Avant,2.0 TDIe 136PS with Stop-Start ,M6,1968,Diesel,5.6,4,4.6,50.4,70.6,61.4,124,1234.97198697068,5,72,171,,149,166,0.6
AUDI,A4 Avant,2.0 CR TDIe 136PS Stop-Start (Limited Equipment),M6,1968,Diesel,5.2,3.9,4.4,54.3,72.4,64.2,120,1181.11028037383,5,72,171,,149,166,1
AUDI,A4 Avant,2.0 TDI 143PS with Stop-Start,M6,1968,Diesel,6.6,4.5,5.3,42.8,62.8,53.3,139,1422.65065666041,5,72,263,,154,183,0.5
AUDI,A4 Avant,2.0 TDI 143PS Multitronic with DPF,AV,1968,Diesel,7.5,5,5.9,37.7,56.5,47.9,155,1583.03298538622,5,72,82,,132,143,0.8
AUDI,A4 Avant,2.0 TDI 170PS with Stop-Start ,M6,1968,Diesel,6.7,4.7,5.5,42.2,60.1,51.4,144,1475.23891050584,5,73,248,,149,177,0.7
AUDI,A4 Avant,2.0 TDI 170PS quattro with DPF,QM6,1968,Diesel,6.9,5,5.7,40.9,56.5,49.6,149,1528.77580645161,5,73,278,,140,177,0.5
AUDI,A4 Avant,2.0 TFSI 211PS quattro with Stop-Start,QM6,1984,Petrol,9.8,6.1,7.5,28.8,46.3,37.7,174,1924.51352785146,5,74,379,49,44,,
AUDI,A4 Avant,2.0 TFSI 211PS,M6,1984,Petrol,8.4,5.6,6.6,33.6,50.4,42.8,154,1695.19065420561,5,74,239,28,23,,
