Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,,,,
LEXUS,"GS, MY2014",GS450h Premier,E-CVT,3456,Petrol Hybrid,,,,,6.7,5.5,6.1,42.2,51.4,46.3,141,"£1,320",,"£1,320",V,70.1,185,31,7,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS250 F Sport,6AT,2500,Petrol,,,,,12.4,7.3,9.2,22.8,38.7,30.7,213,"£1,990",,"£1,990",V,71.0,123,33,27,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS250 Luxury,6AT,2500,Petrol,,,,,11.9,6.7,8.6,23.7,42.2,32.8,199,"£1,863",,"£1,863",V,71.0,123,33,27,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS250 Premier,6AT,2500,Petrol,,,,,12.4,7.3,9.2,22.8,38.7,30.7,213,"£1,990",,"£1,990",V,71.0,123,33,27,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS250 SE,6AT,2500,Petrol,,,,,11.9,6.7,8.6,23.7,42.2,32.8,199,"£1,863",,"£1,863",V,71.0,123,33,27,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS300h Executive,E-CVT,2494,Petrol Hybrid,,,,,4.6,4.6,4.4,61.4,61.4,64.2,103,£952,,£952,V,74.0,99,19,2,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS300h F Sport,E-CVT,2494,Petrol Hybrid,,,,,4.9,4.9,4.7,57.6,57.6,60.1,109,"£1,017",,"£1,017",V,74.0,99,19,2,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS300h Luxury,E-CVT,2494,Petrol Hybrid,,,,,4.6,4.6,4.4,61.4,61.4,64.2,103,£952,,£952,V,74.0,99,19,2,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS300h Premier,E-CVT,2494,Petrol Hybrid,,,,,4.9,4.9,5.7,57.6,57.6,60.1,109,"£1,017",,"£1,017",V,74.0,99,19,2,,,,,,,,,,,,
LEXUS,"IS, MY2013",IS300h SE,E-CVT,2494,Petrol Hybrid,,,,,4.4,4.5,4.3,64.2,62.8,65.7,99,£930,,£930,V,74.0,99,19,2,,,,,,,,,,,,
LEXUS,"LS, MY2013",LS460 F Sport,6AT,4608,Petrol,,,,,15.7,7.8,10.7,18.0,36.2,26.4,249,"£2,314",,"£2,314",V,71.4,92,31,4,,,,,,,,,,,,
LEXUS,"LS, MY2013",LS460 Luxury,6AT,4608,Petrol,,,,,15.7,7.8,10.7,18.0,36.2,26.4,249,"£2,314",,"£2,314",V,71.4,92,31,4,,,,,,,,,,,,
LEXUS,"LS, MY2013",LS600h,CVT,5000,Petrol Hybrid,,,,,10.5,7.5,8.6,26.9,37.7,32.8,199,"£1,863",,"£1,863",V,71.2,294,32,15,,,,,,,,,,,,
LEXUS,"LS, MY2014",LS460 F Sport,A6,4608,Petrol,,,,,15.7,7.8,10.7,18.0,36.2,26.4,249,"£2,314",,"£2,314",V,71.4,92,32,4,,,,,,,,,,,,
LEXUS,"LS, MY2014",LS460 Luxury,A6,4608,Petrol,,,,,15.7,7.8,10.7,18.0,36.2,26.4,249,"£2,314",,"£2,314",V,71.4,92,32,4,,,,,,,,,,,,
LEXUS,"LS, MY2014",LS600h L Premier,E-CVT,4969,Petrol Hybrid,,,,,10.5,7.5,8.6,26.9,37.7,32.8,199,"£1,863",,"£1,863",V,71.2,295,32,16,,,,,,,,,,,,
LEXUS,"LS, MY2014",LS600h L Premier Night,E-CVT,4969,Petrol Hybrid,,,,,10.5,7.5,8.6,26.9,37.7,32.8,199,"£1,863",,"£1,863",V,71.2,295,32,16,,,,,,,,,,,,
LEXUS,"RX, MY2012",RX450h Advance,CVT,3456,Petrol Hybrid,,,,,6.5,6.0,6.3,43.5,47.1,44.8,145,"£1,364",,"£1,364",V,71.6,245,23,7,,,,,,,,,,,,
LEXUS,"RX, MY2012",RX450h Luxury,E-CVT,3456,Petrol Hybrid,,,,,6.5,6.0,6.3,43.5,47.1,44.8,145,"£1,364",,"£1,364",V,71.6,245,23,7,,,,,,,,,,,,
LEXUS,"RX, MY2012",RX450h SE,E-CVT,3456,Petrol Hybrid,,,,,6.5,6.0,6.3,43.5,47.1,44.8,145,"£1,364",,"£1,364",V,71.6,245,23,7,,,,,,,,,,,,
LOTUS,Elise,Elise,M6,1598,Petrol,,,,,8.3,5.0,6.3,34.0,56.5,44.8,149,"£1,364",,"£1,364",V,74.0,273,64,25,,,,,,,,,,,,
LOTUS,Elise,Elise S,M6,1798,Petrol,,,,,10.3,5.9,7.5,27.4,47.9,37.7,173,"£1,621",,"£1,621",V,74.0,392,65,34,,,,,,,,,,,,
LOTUS,Evora,Evora,M6,3456,Petrol,,,,,13.2,7.1,9.3,21.4,39.8,30.4,217,"£2,010",,"£2,010",V,73.0,229,37,20,,,,,,,,,,,,
LOTUS,Evora,Evora IPS Auto Gearbox,A6,3456,Petrol,,,,,13.3,6.6,9.0,21.2,42.8,31.4,210,"£1,946",,"£1,946",V,74.0,285,32,21,,,,,,,,,,,,
LOTUS,Evora,"Evora S 19"" wheels",M6,3456,Petrol,,,,,14.2,7.4,9.9,19.9,38.2,28.5,229,"£2,144",,"£2,144",V,75.0,743,56,50,,,,,,,,,,,,
LOTUS,Evora,"Evora S 20"" wheels",M6,3456,Petrol,,,,,14.0,7.5,9.9,20.2,37.7,28.5,229,"£2,144",,"£2,144",V,75.0,743,56,50,,,,,,,,,,,,
LOTUS,Evora,Evora S IPS Auto Gearbox,A6,3456,Petrol,,,,,14.4,6.9,9.7,19.6,40.9,29.1,224,"£2,100",,"£2,100",V,73.0,748,59,24,,,,,,,,,,,,
LOTUS,Exige,Exige S,M6,3456,Petrol,,,,,14.5,7.6,10.1,19.5,37.2,28.0,235,"£2,182",,"£2,182",V,72.0,774,51,35,,,,,,,,,,,,
LOTUS,Exige,Exige S Roadster,M6,3456,Petrol,,,,,14.5,7.6,10.1,19.5,37.2,28.0,235,"£2,182",,"£2,182",V,74.0,774,51,35,,,,,,,,,,,,
LTI,Taxi - TX4,2.5 Automatic,A5,2499,Diesel,,,,,11.0,7.0,8.4,25.7,40.3,33.6,222,"£1,916",,"£1,916",V,71.4,106,,256,272,0.20,,,,,,,,,,
LTI,Taxi - TX4,2.5 Manual,M5,2499,Diesel,,,,,10.2,6.6,8.0,27.7,42.8,35.3,209,"£1,824",,"£1,824",V,73.4,628,,251,313,0.20,,,,,,,,,,
MASERATI,Ghibli,Ghibli,A8,2979,Petrol,,,,,13.9,7.0,9.6,20.3,40.4,29.4,223,"£2,078",,"£2,078",V,72.0,472,35,28,,,,,,,,,,,,
MASERATI,Ghibli,Ghibli Diesel,A8,2987,Diesel,,,,,7.6,5.0,5.9,37.2,56.5,47.9,158,"£1,344",,"£1,344",V,67.7,255,,148,178,0.20,,,,,,,,,,
MASERATI,Ghibli,Ghibli S,A8,2979,Petrol,,,,,15.7,7.3,10.4,18.0,38.7,27.2,242,"£2,246",,"£2,246",V,71.0,368,44,41,,,,,,,,,,,,
MASERATI,Grancabrio,Grancabrio,A6,4691,Petrol,,,,,22.5,9.8,14.5,12.5,28.8,19.5,337,"£3,133",,"£3,133",V,72.6,519,46,21,,,,,,,,,,,,
MASERATI,Grancabrio,Grancabrio MC,A6,4691,Petrol,,,,,22.5,9.8,14.5,12.5,28.8,19.5,337,"£3,133",,"£3,133",V,72.2,515,39,13,,,,,,,,,,,,
MASERATI,Grancabrio,Grancabrio Sport,A6,4691,Petrol,,,,,22.5,9.8,14.5,12.5,28.8,19.5,337,"£3,133",,"£3,133",V,72.2,515,39,13,,,,,,,,,,,,
MASERATI,Granturismo,Granturismo,A6,4244,Petrol,,,,,21.5,10.0,14.3,13.1,28.2,19.8,330,"£3,086",,"£3,086",V,74.0,468,33,29,,,,,,,,,,,,
MASERATI,Granturismo,Granturismo MC Stradale,M6,4691,Petrol,,,,,23.8,10.7,15.5,11.9,26.4,18.2,360,"£3,357",,"£3,357",V,73.7,512,42,35,,,,,,,,,,,,
MASERATI,Granturismo,Granturismo Sport MC Auto,A6,4691,Petrol,,,,,21.9,9.8,14.3,12.9,28.8,19.7,331,"£3,101",,"£3,101",V,73.8,470,51,21,,,,,,,,,,,,
MASERATI,Granturismo,Granturismo Sport MC Shift,M6,4691,Petrol,,,,,23.8,10.7,15.5,11.9,26.4,18.2,360,"£3,357",,"£3,357",V,73.7,512,42,35,,,,,,,,,,,,
MASERATI,Quattroporte,Quattroporte Diesel,A8,2987,Diesel,,,,,7.8,5.2,6.2,36.2,54.3,45.6,163,"£1,412",,"£1,412",V,66.7,255,,148,178,0.20,,,,,,,,,,
MASERATI,Quattroporte,Quattroporte GTS,A8,3799,Petrol,,,,,17.4,8.5,11.8,16.2,33.2,23.9,274,"£2,556",,"£2,556",V,69.1,357,51,35,,,,,,,,,,,,
MASERATI,Quattroporte,Quattroporte S,A8,2979,Petrol,,,,,15.7,7.4,10.4,18.0,38.2,27.2,242,"£2,246",,"£2,246",V,68.0,368,44,41,,,,,,,,,,,,
MAZDA,CX-5,2.0 SKYACTIV-G (165PS) 2WD,M6,1998,Petrol,,,,,7.5,5.1,6.0,37.7,55.4,47.1,139,"£1,297",,"£1,297",V,70.4,155,29,8,,,,,,,,,,,,
MAZDA,Mazda3,1.5 SKYACTIVE-G (100PS) 5 door,M6,1496,Petrol,,,,,6.5,4.3,5.1,43.5,65.7,55.4,119,"£1,103",,"£1,103",V,70.0,136,27,12,,,,,,,,,,,,
MAZDA,Mazda3,2.0 SKYACTIVE-G (120PS) 4 door,A6,1998,Petrol,,,,,7.0,4.8,5.6,40.4,58.9,50.4,128,"£1,212",,"£1,212",V,69.0,113,51,9,,,,,,,,,,,,
MAZDA,Mazda3,2.0 SKYACTIVE-G (120PS) 4 door,M6,1998,Petrol,,,,,6.5,4.3,5.1,43.5,65.7,55.4,119,"£1,103",,"£1,103",V,71.0,181,41,8,,,,,,,,,,,,
MAZDA,Mazda3,2.0 SKYACTIVE-G (120PS) 5 door,A6,1998,Petrol,,,,,7.0,4.8,5.6,40.4,58.9,50.4,129,"£1,212",,"£1,212",V,69.0,113,51,9,,,,,,,,,,,,
MAZDA,Mazda3,2.0 SKYACTIVE-G (120PS) 5 door,M6,1998,Petrol,,,,,6.5,4.3,5.1,43.5,65.7,55.4,119,"£1,103",,"£1,103",V,71.0,181,41,8,,,,,,,,,,,,
MAZDA,Mazda3,2.0 SKYACTIVE-G (165PS) 5 door,M6,1998,Petrol,,,,,7.5,4.8,5.8,37.7,58.9,48.7,135,"£1,255",,"£1,255",V,71.0,121,32,8,,,,,,,,,,,,
MAZDA,Mazda5,1.6 D,M6,1560,Diesel,,,,,6.4,4.6,5.2,44.1,61.4,54.3,138,"£1,185",,"£1,185",V,68.6,146,,173,190,0.70,,,,,,,,,,
MAZDA,Mazda5,1.8 (115PS),M6,1798,Petrol,,,,,9.3,6.0,7.2,30.4,47.1,39.2,168,"£1,559",,"£1,559",V,69.8,258,29,24,,,,,,,,,,,,
MAZDA,Mazda5,2.0 (150PS),M6,1998,Petrol,,,,,9.0,5.7,6.9,31.4,49.6,40.9,159,"£1,494",,"£1,494",V,69.8,283,39,10,,,,,,,,,,,,
MAZDA,Mazda6,2.0 SKYACTIV-G (145PS) Saloon,M6,1998,Petrol,,,,,7.1,4.6,5.5,39.8,61.4,51.4,129,"£1,189",,"£1,189",V,71.0,186,54,9,,,,,,,,,,,,
MAZDA,Mazda6,2.0 SKYACTIV-G (165PS) Saloon,M6,1998,Petrol,,,,,7.5,4.9,5.9,37.7,57.6,47.9,135,"£1,276",,"£1,276",V,71.0,157,48,10,,,,,,,,,,,,
MAZDA,MX-5,1.8,M5,1798,Petrol,,,,,9.8,5.6,7.1,28.8,50.4,39.8,167,"£1,535",,"£1,535",V,71.0,213,34,13,,,,,,,,,,,,
MAZDA,MX-5,2.0,A6,1999,Petrol,,,,,11.1,6.2,8.0,25.4,45.6,35.3,188,"£1,731",,"£1,731",V,68.0,370,39,20,,,,,,,,,,,,
MAZDA,MX-5,2.0 5 speed,M5,1999,Petrol,,,,,10.7,5.9,7.6,26.4,47.9,37.2,177,"£1,642",,"£1,642",V,71.0,198,23,10,,,,,,,,,,,,
MAZDA,MX-5,2.0 6 speed,M6,1999,Petrol,,,,,10.9,6.1,7.8,25.9,46.3,36.2,181,"£1,688",,"£1,688",V,70.0,149,21,12,,,,,,,,,,,,
MCLAREN,"McLaren P1TM, MY2014",Coupé (737 Ps) standard muffler,7SP. SSG,3799,Electricity / Petrol,56.5,11,11,7,,,8.3,,,34.0,194,"£1,797",£30,"£1,827",V,74.0,369,36,28,,,,,,,,,,,,
MCLAREN,MP4-12C,Coupé (600 Ps) sports muffler,7SP. SSG,3799,Petrol,,,,,18.5,7.8,11.7,15.3,36.3,24.2,279,"£2,525",,"£2,525",V,73.7,534,54,30,,,,,,,,,,,,
MCLAREN,MP4-12C,Coupé (600 Ps) standard muffler,7SP. SSG,3799,Petrol,,,,,18.5,7.8,11.7,15.3,36.3,24.2,279,"£2,525",,"£2,525",V,71.0,534,54,30,,,,,,,,,,,,
MCLAREN,MP4-12C,Coupé (625 Ps) sports muffler,7SP. SSG,3799,Petrol,,,,,18.5,7.8,11.7,15.3,36.2,24.1,279,"£2,535",,"£2,535",V,74.0,525,44,22,,,,,,,,,,,,
MCLAREN,MP4-12C,Coupé (625 Ps) standard muffler,7SP. SSG,3799,Petrol,,,,,18.5,7.8,11.7,15.3,36.2,24.1,279,"£2,535",,"£2,535",V,74.0,525,44,22,,,,,,,,,,,,
MCLAREN,MP4-12C,Spider (625 Ps) sports muffler,7SP. SSG,3799,Petrol,,,,,18.5,7.8,11.7,15.3,36.2,24.1,279,"£2,535",,"£2,535",V,74.0,525,44,22,,,,,,,,,,,,
MCLAREN,MP4-12C,Spider (625 Ps) standard muffler,7SP. SSG,3799,Petrol,,,,,18.5,7.8,11.7,15.3,36.2,24.1,279,"£2,535",,"£2,535",V,73.0,525,44,22,,,,,,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2015","A 180 CDI with 16"" rear wheels",A7,1461,Diesel,,,,,4.6,3.6,4.0,61.4,78.5,70.6,103,£912,,£912,V,69.0,249,,144,160,0.70,,,,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2015","A 180 CDI with 16"" rear wheels",M6,1461,Diesel,,,,,4.2,3.2,3.6,67.3,88.3,78.5,92,£820,,£820,V,73.0,319,,161,196,0.30,,,,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2015","A 180 CDI with 17"" rear wheels",M6,1461,Diesel,,,,,4.6,3.5,4.0,61.4,80.7,70.6,102,£912,,£912,V,74.0,190,,140,168,0.20,,,,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2015","A 180 CDI with 17"" rear wheels",A7,1461,Diesel,,,,,4.9,3.8,4.1,57.6,74.3,68.9,108,£934,,£934,V,69.0,249,,144,160,0.70,,,,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2015","A 180 CDI with 18"" rear wheels",M6,1461,Diesel,,,,,4.7,3.6,4.0,60.1,78.5,70.6,105,£912,,£912,V,74.0,190,,140,168,0.20,,,,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2015","A 180 CDI with 18"" rear wheels",A7,1461,Diesel,,,,,5.0,3.8,4.3,56.5,74.3,65.7,111,£980,,£980,V,69.0,249,,144,160,0.70,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 180 CDI ECO with 16"" rear wheels",M6,1461,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,98,£866,,£866,V,73.0,277,,149,182,0.10,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 180 CDI with 16"" rear wheels",A7,1461,Diesel,,,,,4.9,3.7,4.1,57.6,76.3,68.9,107,£934,,£934,V,70.0,249,,144,160,0.70,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015",B 180 CDI with 17'' rear wheels,M6,1461,Diesel,,,,,5.1,4.0,4.4,55.4,70.6,64.2,113,"£1,003",,"£1,003",V,73.0,190,,140,168,0.20,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 180 CDI with 17"" rear wheels",A7,1461,Diesel,,,,,5.0,3.9,4.3,56.5,72.4,65.7,112,£980,,£980,V,70.0,249,,144,160,0.70,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 180 CDI with 18"" rear wheels",M6,1461,Diesel,,,,,5.2,4.1,4.5,54.3,68.9,62.8,117,"£1,025",,"£1,025",V,73.0,190,,140,168,0.20,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 180 CDI with 18"" rear wheels 1461cc",A7,1461,Diesel,,,,,5.1,4.0,4.4,55.4,70.6,64.2,115,"£1,003",,"£1,003",V,70.0,249,,144,160,0.70,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 200 CDI with 16"" rear wheels",A7,1796,Diesel,,,,,4.9,3.9,4.2,57.6,72.4,67.3,112,£956,,£956,V,75.0,227,,160,179,0.50,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 200 CDI with 16"" rear wheels",M6,1796,Diesel,,,,,5.4,3.8,4.4,52.3,74.3,64.2,114,"£1,003",,"£1,003",V,75.0,348,,150,175,0.10,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 200 CDI with 17"" rear wheels",A7,1796,Diesel,,,,,5.1,4.1,4.4,55.4,68.9,64.2,116,"£1,003",,"£1,003",V,75.0,227,,160,179,0.50,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 200 CDI with 17"" rear wheels",M6,1796,Diesel,,,,,5.5,4.0,4.5,51.4,70.6,62.8,118,"£1,025",,"£1,025",V,75.0,348,,150,175,0.10,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 200 CDI with 18"" rear wheels",A7,1796,Diesel,,,,,5.2,4.2,4.5,54.3,67.3,62.8,120,"£1,025",,"£1,025",V,75.0,227,,160,179,0.50,,,,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2015","B 200 CDI with 18"" rear wheels",M6,1796,Diesel,,,,,5.6,4.1,4.6,50.4,68.9,61.4,121,"£1,048",,"£1,048",V,75.0,348,,150,175,0.10,,,,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2015","C 220 CDI with 16"" rear wheels ECO Start/Stop",A7,2143,Diesel,,,,,6.1,4.2,4.9,46.3,67.3,57.6,128,"£1,118",,"£1,118",V,70.0,91,,126,144,0.40,,,,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2015","C 220 CDI with 16"" rear wheels ECO Start/Stop",M6,2143,Diesel,,,,,5.2,3.5,4.1,54.3,80.7,68.9,109,£934,,£934,V,72.0,165,,157,174,0.50,,,,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2015","C 220 CDI with 18"" rear wheels ECO Start/Stop",A7,2143,Diesel,,,,,6.5,4.6,5.3,43.5,61.4,53.3,139,"£1,208",,"£1,208",V,70.0,91,,126,144,0.40,,,,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2015","C 220 CDI with 18"" rear wheels ECO Start/Stop",M6,2143,Diesel,,,,,6.3,4.3,5.1,44.8,65.7,55.4,133,"£1,162",,"£1,162",V,72.0,165,,157,174,0.50,,,,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2015","C 250 CDI with 18"" rear wheels ECO Start/Stop",A7,2143,Diesel,,,,,6.5,4.6,5.3,43.5,61.4,53.3,139,"£1,208",,"£1,208",V,75.0,54,,146,156,0.20,,,,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2015","C 250 CDI with 18"" rear wheels ECO Start/Stop",M6,2143,Diesel,,,,,6.8,4.6,5.4,41.5,61.4,52.3,143,"£1,231",,"£1,231",V,72.0,210,,170,183,0.30,,,,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2015","C 63 AMG with 18"" and 19"" rear wheels",A7,6208,Petrol,,,,,18.2,8.4,12.0,15.5,33.6,23.5,280,"£2,600",,"£2,600",V,74.0,302,28,34,,,,,,,,,,,,
MERCEDES-BENZ,"CLA-Coupé, Model Year 2015","CLA 200 CDI with 18"" rear wheels",A7,1796,Diesel,,,,,5.2,4.2,4.5,54.3,67.3,62.8,118,"£1,025",,"£1,025",V,75.0,227,,160,179,0.50,,,,,,,,,,
MERCEDES-BENZ,"CLA-Coupé, Model Year 2015","CLA 200 CDI with 18"" rear wheels",M6,1796,Diesel,,,,,5.5,3.8,4.4,51.4,74.3,64.2,117,"£1,003",,"£1,003",V,75.0,348,,150,175,0.10,,,,,,,,,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2015",E 250 CDI with 18'' & 19'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,5.9,4.4,4.9,47.9,64.2,57.6,128,"£1,118",,"£1,118",V,71.0,54,,146,156,0.16,,,,,,,,,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2016",E 250 CDI with 17'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,5.9,4.4,4.9,47.9,64.2,57.6,128,"£1,118",,"£1,118",V,71.0,54,,146,156,0.16,,,,,,,,,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2015",E 250 CDI with 18'' & 19'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,6.0,4.3,4.9,47.1,65.7,57.6,129,"£1,118",,"£1,118",V,71.0,54,,146,156,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2016",E 250 CDI with 18'' & 19'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,6.0,4.3,4.9,47.1,65.7,57.6,129,"£1,118",,"£1,118",V,71.0,54,,146,156,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Estate, Model Year 2015",E 250 CDI with 17'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,6.5,4.8,5.5,43.5,58.9,51.4,143,"£1,252",,"£1,252",V,72.0,94,,148,160,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Estate, Model Year 2015",E 250 CDI with 18'' & 19'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,6.5,4.9,5.5,43.5,57.6,51.4,145,"£1,252",,"£1,252",V,72.0,94,,148,160,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Estate, Model Year 2015","E 300 BLUETEC HYBRID with 17"" rear wheels",A7,2143,Diesel Electric,,,,,4.3,4.4,4.4,65.7,64.2,64.2,114,"£1,003",,"£1,003",V,72.0,248,,158,181,0.17,,,,,,,,,,
MERCEDES-BENZ,"E-Class Estate, Model Year 2015","E 300 BLUETEC HYBRID with 18"" & 19"" rear wheels",A7,2143,Diesel Electric,,,,,4.3,4.4,4.4,65.7,64.2,64.2,114,"£1,003",,"£1,003",V,72.0,248,,158,181,0.17,,,,,,,,,,
MERCEDES-BENZ,"E-Class Estate, Model Year 2016",E 300 BLUETEC Hybrid with 17'' rear wheels,A7,2143,Diesel Electric,,,,,4.3,4.4,4.4,65.7,64.2,64.2,114,"£1,003",,"£1,003",V,72.0,248,,158,181,0.17,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2015",E 250 CDI with 17'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,5.9,4.3,4.9,47.9,65.7,57.6,129,"£1,118",,"£1,118",V,71.0,54,,146,156,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2015",E 250 CDI with 18'' & 19'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,6.2,4.5,5.1,45.6,62.8,55.4,134,"£1,162",,"£1,162",V,71.0,54,,146,156,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2015","E 300 BLUETEC HYBRID with 17"" rear wheels",A7,2143,Diesel Electric,,,,,4.0,4.1,4.1,70.6,68.9,68.9,107,£934,,£934,V,71.0,248,,158,181,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2015","E 300 BLUETEC HYBRID with 18"" & 19"" rear wheels",A7,2143,Diesel Electric,,,,,4.2,4.2,4.2,67.3,67.3,67.3,110,£956,,£956,V,71.0,248,,158,181,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2016",E 250 CDI with 17'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,6.0,4.4,5.0,47.1,64.2,56.5,129,"£1,139",,"£1,139",V,73.0,143,,43,58,1.10,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2016",E 250 CDI with 18'' & 19'' rear wheels ECO Start/Stop,A7,2143,Diesel,,,,,6.2,4.5,5.1,45.6,62.8,55.4,134,"£1,162",,"£1,162",V,71.0,54,,1146,156,0.16,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2016","E 300 BLUETEC HYBRID with 17"" rear wheels",A7,2143,Diesel Electric,,,,,4.0,4.1,4.1,70.6,68.9,68.9,107,£934,,£934,V,71.0,248,,158,181,0.20,,,,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2016","E 300 BLUETEC HYBRID with 18"" & 19"" rear wheels",A7,2143,Diesel Electric,,,,,4.2,4.2,4.2,67.3,67.3,67.3,110,£956,,£956,V,71.0,248,,158,181,0.20,,,,,,,,,,
MERCEDES-BENZ,"G-Class, Model Year 2015",G 350 BlueTEC with 18'' rear wheels,A7,2987,Diesel,,,,,13.6,9.8,11.2,20.8,28.8,25.2,295,"£2,554",,"£2,554",V,70.0,215,,123,141,0.90,,,,,,,,,,
MERCEDES-BENZ,"G-Class, Model Year 2015",G 63 AMG with 20'' rear wheels,A7,5461,Petrol,,,,,17.2,11.8,13.8,16.4,23.9,20.5,322,"£2,980",,"£2,980",V,75.0,215,59,29,,,,,,,,,,,,
MERCEDES-BENZ,"GL-Class, Model Year 2015",GL 63 AMG with 21'' rear wheels,A7,5461,Petrol,,,,,15.8,10.3,12.3,17.9,27.4,23.0,288,"£2,656",,"£2,656",V,74.0,528,43,47,,,,,,,,,,,,
MERCEDES-BENZ,"M-Class, Model Year 2015",ML 63 AMG with 20'' & 21'' rear wheels,A7,5461,Petrol,,,,,15.7,9.6,11.8,18.0,29.4,23.9,276,"£2,556",,"£2,556",V,74.0,528,43,47,,,,,,,,,,,,
MERCEDES-BENZ,"SL, Model Year 2015",SL 63 AMG with 19'' & 20'' rear wheels,A7,5461,Petrol,,,,,13.9,7.6,9.9,20.3,37.2,28.5,231,"£2,144",,"£2,144",V,74.0,144,33,54,,,,,,,,,,,,
MERCEDES-BENZ,"SLK-Class, Model Year 2015","SLK 200 with 17"" & 18"" rear wheels ECO Start/Stop",M6,1796,Petrol,,,,,9.3,5.3,6.8,30.4,53.3,41.5,158,"£1,472",,"£1,472",V,74.0,168,24,37,,,,,,,,,,,,
MERCEDES-BENZ,"SLK-Class, Model Year 2015","SLK 200 with 17"" & 18"" rear wheels ECO Start/Stop",A7,1796,Petrol,,,,,8.6,5.3,6.5,32.8,53.3,43.5,151,"£1,405",,"£1,405",V,74.0,223,50,28,,,,,,,,,,,,
