Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,,,,
AUDI,A4 Saloon,1.8 TFSI 170PS Multitronic Stop-Start,AV,1798,Petrol,,,,,6.9,5.1,5.8,40.9,55.4,48.7,134,"£1,255",,"£1,255",V,70.0,195,49,42,,,,,,,,,,,,
AUDI,A4 Saloon,1.8 TFSI 170PS Stop-Start,M6,1798,Petrol,,,,,7.4,4.8,5.7,38.2,58.9,49.6,134,"£1,232",,"£1,232",V,71.0,342,51,42,,,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI 143PS Multitronic Stop-Start,AV,1968,Diesel,,,,,5.7,4.4,4.8,49.6,64.2,58.9,127,"£1,093",,"£1,093",V,70.0,103,,142,158,0.00,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI 143PS Stop-Start,M6,1968,Diesel,,,,,5.4,4.0,4.5,52.3,70.6,62.8,119,"£1,025",,"£1,025",V,70.0,144,,138,156,0.20,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI 150PS,M6,1968,Diesel,,,,,5.4,4.0,4.5,52.3,70.6,62.8,119,"£1,025",,"£1,025",V,70.0,144,,138,156,0.30,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI 150PS Multitronic,AV,1968,Diesel,,,,,5.7,4.4,4.8,49.6,64.2,58.9,127,"£1,093",,"£1,093",V,70.0,103,,142,158,0.00,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI 177PS Multitronic Stop-Start,AV,1968,Diesel,,,,,5.7,4.4,4.8,49.6,64.2,58.9,127,"£1,093",,"£1,093",V,71.0,103,,143,159,0.00,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI 177PS Stop-Start,M6,1968,Diesel,,,,,5.5,4.1,4.6,51.4,68.9,61.4,120,"£1,048",,"£1,048",V,71.0,186,,133,164,0.10,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI quattro 177PS S tronic,QD6,1968,Diesel,,,,,6.4,4.7,5.3,44.1,60.1,53.3,139,"£1,208",,"£1,208",V,70.0,159,,136,161,0.40,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDI quattro 177PS Stop-Start,QM6,1968,Diesel,,,,,6.1,4.5,5.1,46.3,62.8,55.4,134,"£1,162",,"£1,162",V,71.0,207,,143,174,0.00,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDIe 136PS Stop-Start,M6,1968,Diesel,,,,,5.2,3.7,4.3,54.3,76.3,65.7,112,£980,,£980,V,70.0,203,,147,171,0.10,,,,,,,,,,
AUDI,A4 Saloon,2.0 TDIe 163PS Stop-Start,M6,1968,Diesel,,,,,5.3,3.8,4.4,53.3,74.3,64.2,115,"£1,003",,"£1,003",V,71.0,145,,134,150,0.20,,,,,,,,,,
AUDI,A4 Saloon,2.0 TFSI 211PS Multitronic Stop-Start,AV,1984,Petrol,,,,,7.7,5.0,6.0,36.7,56.5,47.1,140,"£1,297",,"£1,297",V,73.0,290,37,31,,,,,,,,,,,,
AUDI,A4 Saloon,2.0 TFSI quattro 211PS 7speed S tronic,QD7,1984,Petrol,,,,,8.8,5.8,7.0,32.1,48.7,40.4,159,"£1,512",,"£1,512",V,74.0,655,62,53,,,,,,,,,,,,
AUDI,A4 Saloon,2.0 TFSI quattro 211PS Stop-Start,QM6,1984,Petrol,,,,,8.9,5.6,6.8,31.7,50.4,41.5,159,"£1,472",,"£1,472",V,74.0,290,39,35,,,,,,,,,,,,
AUDI,A4 Saloon,2.0 TFSI quattro 225PS 7speed S tronic,QD7,1984,Petrol,,,,,8.5,5.6,6.7,33.2,50.4,42.2,155,"£1,448",,"£1,448",V,74.0,295,64,32,,,,,,,,,,,,
AUDI,A4 Saloon,3.0 V6 TDI 204PS Multitronic Stop-Start,AV,2967,Diesel,,,,,5.5,4.6,4.9,51.4,61.4,57.6,129,"£1,118",,"£1,118",V,71.0,210,,172,190,0.20,,,,,,,,,,
AUDI,A4 Saloon,3.0 V6 TDI quattro 245PS 7speed S tronic Stop-Start,QD7,2967,Diesel,,,,,6.8,5.1,5.7,41.5,55.4,49.6,149,"£1,298",,"£1,298",V,69.0,261,,150,174,0.30,,,,,,,,,,
