Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard,,,,,,
AUDI,A4 Avant,2.7 V6 TDI 180PS with DPF,M6,2698,Diesel,9.6,5.2,6.8,29.4,54.3,41.5,182,1315,72.0,0.217,,0.195,0.221,0.001,IV,,,,,,
AUDI,A4 Avant,3.0 V6 TDI quattro 233PS,QM6,2967,Diesel,10.7,5.7,7.5,26.4,49.6,37.7,198,1447,73.0,0.208,,0.210,0.240,0.023,IV,,,,,,
AUDI,A4 Avant,3.0 V6 TDI quattro 233PS Tiptronic,QA6,2967,Diesel,11.8,6.3,8.3,23.9,44.8,34.0,222,1604,73.0,0.234,,0.171,0.204,0.022,IV,,,,,,
AUDI,A4 Avant,2.0 TFSI 200PS,M6,1984,Petrol,11.0,5.9,7.8,25.7,47.9,36.2,186,1326,73.0,0.610,0.059,0.017,,,IV,,,,,,
AUDI,A4 Avant,2.0 130PS,M5,1984,Petrol,11.6,6.1,8.2,24.4,46.3,34.4,193,1396,73.0,0.682,0.068,0.044,,,IV,,,,,,
AUDI,A4 Avant,2.0 130PS Multitronic,AV,1984,Petrol,11.1,6.4,8.1,25.4,44.1,34.9,194,1376,71.0,0.705,0.088,0.038,,,IV,,,,,,
AUDI,A4 Avant,2.0 TFSI 200PS Multitronic,AV,1984,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,194,1376,73.0,0.636,0.038,0.018,,,IV,,,,,,
AUDI,A4 Avant,2.0 TFSI 220PS Special Edition,M6,1984,Petrol,11.3,6.3,8.1,25.0,44.8,34.9,194,1376,73.0,0.666,0.076,0.029,,,IV,,,,,,
AUDI,A4 Avant,1.8 T 163PS,M5,1781,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,199,1412,71.0,0.446,0.020,0.017,,,IV,,,,,,
AUDI,A4 Avant,1.8 T 163PS Multitronic,AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,1429,71.0,0.617,0.058,0.049,,,IV,,,,,,
AUDI,A4 Avant,2.0 TFSI quattro 200PS,QM6,1984,Petrol,12.6,6.6,8.8,22.4,42.8,32.1,209,1496,74.0,0.634,0.034,0.019,,,IV,,,,,,
AUDI,A4 Avant,2.0 TFSI quattro 220PS Special Edition,QM6,1984,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,214,1529,73.0,0.643,0.046,0.030,,,IV,,,,,,
