Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
VOLKSWAGEN,Bora 4 Door Saloon,Sport TDI 150 bhp,M6,1896,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,149,425,III,74,0.177,0.395,0,0.363,0.024
VOLKSWAGEN,New Sharan 5 Door,S 1.9 TDI 115 bhp,M6,1896,Diesel,8.6,5.5,6.6,32.8,51.4,42.8,178,510,III,74,0.463,0.464,0,0.387,0.035
VOLKSWAGEN,New Sharan 5 Door,SE 1.9 TDI 115 bhp,M6,1896,Diesel,8.6,5.5,6.6,32.8,51.4,42.8,178,510,III,74,0.463,0.464,0,0.387,0.035
VOLKSWAGEN,New Sharan 5 Door,Sport 1.9 TDI 115 bhp,M6,1896,Diesel,8.6,5.5,6.6,32.8,51.4,42.8,178,510,III,74,0.463,0.464,0,0.387,0.035
VOLKSWAGEN,New Sharan 5 Door,Carat 1.9 TDI 115 bhp,M6,1896,Diesel,8.6,5.5,6.6,32.8,51.4,42.8,178,510,III,74,0.463,0.464,0,0.387,0.035
VOLKSWAGEN,Multi-Van,114 bhp,A4,2461,Petrol,17.5,10.1,12.9,16.1,28.0,21.9,310,971,III,72,1.31,0,0.169,0.09,0
VOLKSWAGEN,Passat 4 Door Saloon S/SE/Sport,TDI PD 1.9 115 bhp,M5,1896,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,151,433,III,72,0.115,0.442,0,0.414,0.039
VOLKSWAGEN,Passat 4 Door Saloon S/SE/Sport,TDI PD 1.9 115 bhp,A5,1896,Diesel,10.0,5.4,7.1,28.2,52.3,39.8,192,548,III,72,0.212,0.499,0,0.456,0.045
VOLKSWAGEN,Passat 5 Door Estate S/SE/Sport,TDI PD 1.9 115 bhp,M5,1896,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,154,440,III,72,0.115,0.442,0,0.414,0.039
VOLKSWAGEN,Passat 5 Door Estate S/SE/Sport,TDI PD 1.9 115 bhp,A5,1896,Diesel,10.0,5.6,7.2,28.2,50.4,39.2,194,557,III,72,0.212,0.499,0,0.456,0.045
VOLVO,S/V40 Model Year 2001,1.6,M5,1587,Petrol,11.1,6.0,7.9,25.4,47.1,35.8,185,594,III,74,1.51,0.21,0.15,0.06,0
VOLVO,S/V40 Model Year 2001,1.8 (122 bhp),M5,1783,Petrol,11.5,6.1,8.1,24.6,46.3,34.9,193,610,III,73,0.64,0.19,0.13,0.06,0
VOLVO,S/V40 Model Year 2001,1.8 (122 bhp),A5,1783,Petrol,13.2,6.4,8.9,21.4,44.1,31.7,212,671,III,72,0.89,0.25,0.18,0.07,0
VOLVO,S/V40 Model Year 2001,2.0,M5,1948,Petrol,11.8,6.3,8.3,23.9,44.8,34.0,198,626,III,73,1.32,0.24,0.15,0.09,0
VOLVO,S/V40 Model Year 2001,2.0,A5,1948,Petrol,13.2,6.7,9.1,21.4,42.2,31.0,216,686,III,74,1.38,0.26,0.18,0.08,0
VOLVO,S/V40 Model Year 2001,T4,M5,1948,Petrol,12.7,6.7,8.9,22.2,42.2,31.7,212,671,III,72,0.75,0.2,0.14,0.06,0
VOLVO,S/V40 Model Year 2001,T4,A5,1948,Petrol,14.3,6.8,9.5,19.8,41.5,29.7,227,716,III,73,0.64,0.18,0.09,0.09,0
VOLVO,S/V40 Model Year 2001,2.0 T,M5,1948,Petrol,12.0,6.2,8.3,23.5,45.6,34.0,198,626,III,74,0.59,0.16,0.09,0.07,0
VOLVO,S/V40 Model Year 2001,2.0 T,A5,1948,Petrol,13.4,6.6,9.2,21.1,42.8,30.7,217,693,III,74,0.78,0.17,0.08,0.09,0
VOLVO,S/V40 Model Year 2001,1.9 D (102 bhp),M5,1870,Diesel,7.4,4.2,5.4,38.2,67.3,52.3,142,417,III,72,0.16,0.43,0,0.42,0.04
VOLVO,S/V40 Model Year 2001,1.9 D (115 bhp),M5,1870,Diesel,7.4,4.2,5.4,38.2,67.3,52.3,142,417,III,73,0.27,0.38,0,0.35,0.03
VOLVO,New V70 Model Year 2001,T5,M5,2319,Petrol,13.1,7.2,9.4,21.6,39.2,30.1,225,707,III,70,0.678,0.11,0.069,0.041,0
VOLVO,New V70 Model Year 2001,T5,A5,2319,Petrol,15.5,8.4,11.0,18.2,33.6,25.7,264,828,III,72,0.633,0.132,0.086,0.046,0
VOLVO,New V70 Model Year 2001,2.4 T,M5,2435,Petrol,12.9,7.2,9.3,21.9,39.2,30.4,222,700,III,70,1.493,0.136,0.113,0.023,0
VOLVO,New V70 Model Year 2001,2.4 T,A5,2435,Petrol,15.0,8.2,10.7,18.8,34.4,26.4,254,806,III,71,1.492,0.145,0.109,0.036,0
VOLVO,New V70 Model Year 2001,2.4 T XC AWD,M5,2435,Petrol,13.7,8.6,10.5,20.6,32.8,26.9,250,791,III,72,0.972,0.156,0.088,0.068,0
VOLVO,New V70 Model Year 2001,2.4 T XC AWD,A5,2435,Petrol,15.6,9.2,11.5,18.1,30.7,24.6,274,865,III,74,1.116,0.161,0.103,0.058,0
VOLVO,New V70 Model Year 2001,2.4 (170 bhp),M5,2435,Petrol,12.0,7.0,8.8,23.5,40.4,32.1,210,663,III,72,0.636,0.072,0.047,0.025,0
VOLVO,New V70 Model Year 2001,2.4 (170 bhp),A5,2435,Petrol,13.2,7.2,9.4,21.4,39.2,30.1,224,707,III,73,0.376,0.057,0.031,0.026,0
VOLVO,New V70 Model Year 2001,2.4 (140 bhp),M5,2435,Petrol,11.7,6.8,8.6,24.1,41.5,32.8,205,649,III,73,0.558,0.054,0.037,0.017,0
VOLVO,New V70 Model Year 2001,2.4 (140 bhp),A5,2435,Petrol,13.1,7.1,9.3,21.6,39.8,30.4,222,700,III,73,0.433,0.071,0.036,0.035,0
VOLVO,C70 Coupé/Convertible Model Year 2001,T5,M5,2319,Petrol,13.6,7.8,9.9,20.8,36.2,28.5,236,747,III,70,1.128,0.151,0.114,0.037,0
VOLVO,C70 Coupé/Convertible Model Year 2001,T5,A5,2319,Petrol,16.1,8.3,11.2,17.5,34.0,25.2,268,844,III,72,1.092,0.197,0.113,0.084,0
VOLVO,C70 Coupé/Convertible Model Year 2001,2.4 T,M5,2435,Petrol,13.5,7.4,9.5,20.9,38.2,29.7,226,716,III,67,1.08,0.124,0.089,0.035,0
VOLVO,C70 Coupé/Convertible Model Year 2001,2.4 T,A5,2435,Petrol,16.0,8.1,11.0,17.7,34.9,25.7,263,828,III,69,1.536,0.123,0.106,0.017,0
VOLVO,C70 Coupé/Convertible Model Year 2001,2.0 T,M5,1984,Petrol,13.5,7.4,9.7,20.9,38.2,29.1,230,731,III,73,0.756,0.173,0.119,0.054,0
VOLVO,C70 Coupé/Convertible Model Year 2001,2.0 T,A5,1984,Petrol,15.6,7.7,10.6,18.1,36.7,26.6,253,800,III,68,0.984,0.153,0.107,0.046,0
VOLVO,S80 Model Year 2001,T6 with Geartronic,A4,2783,Petrol,16.6,8.2,11.3,17.0,34.4,25.0,270,851,III,73,0.924,0.211,0.121,0.09,0
VOLVO,S80 Model Year 2001,2.9,M5,2922,Petrol,14.7,7.6,10.2,19.2,37.2,27.7,246,768,III,71,0.187,0.071,0.061,0.01,0
VOLVO,S80 Model Year 2001,2.9,A4,2922,Petrol,15.3,7.6,10.4,18.5,37.2,27.2,251,782,III,72,0.205,0.075,0.071,0.004,0
VOLVO,S80 Model Year 2001,2.4 (170 bhp),M5,2435,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,210,663,III,72,0.472,0.064,0.034,0.03,0
VOLVO,S80 Model Year 2001,2.4 (170 bhp),A5,2435,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,224,707,III,73,0.406,0.075,0.037,0.038,0
VOLVO,S80 Model Year 2001,2.4 (140 bhp),M5,2435,Petrol,11.8,6.7,8.6,23.9,42.2,32.8,205,649,III,73,0.526,0.061,0.038,0.023,0
VOLVO,S80 Model Year 2001,2.4 (140 bhp),A5,2435,Petrol,13.3,7.0,9.3,21.2,40.4,30.4,222,700,III,74,0.467,0.069,0.038,0.031,0
