Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard
HONDA,Civic Model Year 2009,1.8 i-VTEC ES GT 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2009,1.8 i-VTEC EX 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2009,1.8 i-VTEC EX GT 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2009,1.8 i-VTEC SE 5 Door,A5,1799,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,165,1535,70.0,0.382,0.046,0.006,,,IV
HONDA,Civic Model Year 2009,1.8 i-VTEC Type S 3 Door,A6,1799,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,152,1385,69.0,0.260,0.033,0.005,,,IV
HONDA,Civic Model Year 2009,1.8 i-VTEC Type S GT 3 Door,A6,1799,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,152,1385,69.0,0.260,0.033,0.005,,,IV
HONDA,Civic Model Year 2009,2.0 i-VTEC Type R 3 Door,M6,1998,Petrol,12.7,7.0,9.1,22.2,40.4,31.0,215,1971,73.0,0.450,0.042,0.016,,,IV
HONDA,Civic Model Year 2009,2.0 i-VTEC Type R GT 3 Door,M6,1998,Petrol,12.7,7.0,9.1,22.2,40.4,31.0,215,1971,73.0,0.450,0.042,0.016,,,IV
HONDA,Civic Model Year 2009,2.0 i-VTEC Championship White Edition Type R 3 Door,M6,1998,Petrol,12.7,7.0,9.1,22.2,40.4,31.0,215,1971,73.0,0.450,0.042,0.016,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC Type S GT 3 Door,A6,1799,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,152,1385,69.0,0.260,0.033,0.005,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC Type S GT-T 3 Door,A6,1799,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,152,1385,69.0,0.260,0.033,0.005,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC ES 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC ES-T 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC EX GT 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC SE 5 Door,A5,1799,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,165,1535,70.0,0.382,0.046,0.006,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC SE-T 5 Door,A5,1799,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,165,1535,70.0,0.382,0.046,0.006,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC Si 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2010,1.8 i-VTEC Si-T 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,IV
HONDA,Civic Model Year 2010,2.0 i-VTEC Type R GT 3 Door,M6,1998,Petrol,12.7,7.0,9.1,22.2,40.4,31.0,215,1971,73.0,0.450,0.042,0.016,,,IV
HONDA,Civic Model Year 2010,2.0 i-VTEC Championship White Edition Type R 3 Door,M6,1998,Petrol,12.7,7.0,9.1,22.2,40.4,31.0,215,1971,73.0,0.450,0.042,0.016,,,IV
HONDA,CR-V Model Year 2009,2.0 i-VTEC ES 5 Door,M6,1997,Petrol,10.4,6.7,8.1,27.2,42.2,34.9,192,1751,72.0,0.200,0.029,0.039,,,IV
HONDA,CR-V Model Year 2009,2.0 i-VTEC ES 5 Door,A5,1997,Petrol,10.9,6.7,8.2,25.9,42.2,34.4,195,1776,70.0,0.310,0.037,0.016,,,IV
HONDA,CR-V Model Year 2009,2.0 i-VTEC EX 5 Door,M6,1997,Petrol,10.4,6.7,8.1,27.2,42.2,34.9,192,1751,72.0,0.200,0.029,0.039,,,IV
HONDA,CR-V Model Year 2009,2.0 i-VTEC EX 5 Door,A5,1997,Petrol,10.9,6.7,8.2,25.9,42.2,34.4,195,1776,70.0,0.310,0.037,0.016,,,IV
HONDA,CR-V Model Year 2009,2.0 i-VTEC SE 5 Door,M6,1997,Petrol,10.4,6.7,8.1,27.2,42.2,34.9,192,1751,72.0,0.200,0.029,0.039,,,IV
HONDA,CR-V Model Year 2009,2.0 i-VTEC SE 5 Door,A5,1997,Petrol,10.9,6.7,8.2,25.9,42.2,34.4,195,1776,70.0,0.310,0.037,0.016,,,IV
HUMMER,H3,3.7,M5,3653,Petrol,18.4,11.0,13.8,15.4,25.7,20.5,327,2980,75.0,0.454,0.052,0.012,,,IV
HUMMER,H3,3.7,A4,3653,Petrol,18.7,12.1,14.5,15.1,23.3,19.5,346,3133,72.0,0.385,0.071,0.022,,,IV
HYUNDAI,i20,1.4l CRDi (57kW engine),M5,1396,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,116,960,71.0,0.207,0.030,0.181,0.211,0.019,IV
HYUNDAI,i20,1.4l CRDi (66kW engine),M5,1396,Diesel,5.5,3.9,4.5,51.4,72.4,62.8,118,982,71.0,0.207,0.030,0.181,0.211,0.019,IV
HYUNDAI,i30,1.6l DOHC CRDi (66kW),M6,1582,Diesel,5.2,3.9,4.4,54.3,72.4,64.2,115,960,69.0,0.254,0.052,0.179,0.231,0.018,IV
HYUNDAI,i30,1.6l DOHC CRDi with ISG (66kW),M6,1582,Diesel,4.7,3.9,4.2,60.1,72.4,67.3,110,916,69.0,0.254,0.052,0.179,0.231,0.018,IV
HYUNDAI,i30,1.6l DOHC CRDi (85kw),M6,1582,Diesel,5.3,4.1,4.5,53.3,68.9,62.8,119,982,72.0,0.211,0.036,0.203,0.239,0.020,IV
HYUNDAI,i30,1.6l DOHC CRDi (85kW),A4,1582,Diesel,7.1,4.8,5.7,39.8,58.9,49.6,150,1243,71.0,0.169,0.021,0.176,0.197,0.015,IV
HYUNDAI,i30,"1.6l DOHC CRDi with ISG (85kW, 15"" and 16"" wheels)",M6,1582,Diesel,4.9,4.1,4.3,57.6,68.9,65.7,115,938,72.0,0.211,0.036,0.203,0.239,0.020,IV
HYUNDAI,i30,"1.6l DOHC CRDi with ISG (85kW, 17"" wheels)",M6,1582,Diesel,4.9,4.2,4.5,57.6,67.3,62.8,117,982,72.0,0.211,0.036,0.203,0.239,0.020,IV
HYUNDAI,i30 Estate,1.6l DOHC CRDi (85kW),M6,1582,Diesel,5.5,4.3,4.7,51.4,65.7,60.1,124,1026,72.0,0.211,0.036,0.203,0.239,0.020,IV
HYUNDAI,i30 Estate,"1.6l DOHC CRDi with ISG (85kW, 15"" & 16"" wheels)",M6,1582,Diesel,5.1,4.2,4.5,55.4,67.3,62.8,119,982,72.0,0.211,0.036,0.203,0.239,0.020,IV
HYUNDAI,i30 Estate,"1.6l DOHC CRDi with ISG (85kW, 17"" wheels)",M6,1582,Diesel,5.1,4.3,4.6,55.4,65.7,61.4,122,1004,72.0,0.205,0.041,0.170,0.211,0.001,IV
HYUNDAI,Matrix,1.5l CRDi,M5,1493,Diesel,6.3,4.5,5.2,44.8,62.8,54.3,136,1135,70.0,0.116,0.017,0.208,0.225,0.019,IV
HYUNDAI,i800,2.5l CRTD,M5,2497,Diesel,10.9,7.1,8.5,25.9,39.8,33.2,225,1857,73.0,0.374,0.047,0.273,0.320,0.038,IV
HYUNDAI,i10,"1.1l SOHC (13"" & 14"" wheels)",M5,1086,Petrol,6.1,4.1,4.8,46.3,68.9,58.9,114,1037,72.8,0.323,0.035,0.023,0.058,,IV
HYUNDAI,i10,"1.1l SOHC (15"" wheels)",M5,1086,Petrol,6.2,4.3,5.0,45.6,65.7,56.5,119,1081,72.8,0.323,0.035,0.023,0.058,,IV
HYUNDAI,i10,1.1l SOHC,A4,1086,Petrol,7.2,5.1,5.9,39.2,55.4,47.9,139,1276,72.4,0.392,0.032,0.011,0.043,,IV
HYUNDAI,i10,1.2l SOHC,M5,1248,Petrol,6.3,4.1,4.9,44.8,68.9,57.6,115,1061,71.5,0.358,0.026,0.022,0.048,,IV
HYUNDAI,i10,1.2l SOHC,A4,1248,Petrol,7.3,5.1,5.9,38.7,55.4,47.9,139,1276,71.6,0.511,0.036,0.017,0.053,,IV
HYUNDAI,i20,1.2l,M5,1248,Petrol,6.4,4.5,5.2,44.1,62.8,54.3,124,1125,72.0,0.383,0.028,0.036,0.064,,IV
HYUNDAI,i20,"1.4l (15"" wheels)",M5,1396,Petrol,7.2,4.7,5.6,39.2,60.1,50.4,133,1212,71.0,0.245,0.025,0.008,0.033,,IV
HYUNDAI,i20,"1.4l (15"" wheels)",A4,1396,Petrol,8.0,5.1,6.2,35.3,55.4,45.6,146,1340,71.0,0.216,0.044,0.007,0.051,,IV
HYUNDAI,i20,"1.4l (16"" wheels)",M5,1396,Petrol,7.6,5.0,6.0,37.2,56.5,47.1,142,1297,71.0,0.245,0.025,0.008,0.033,,IV
HYUNDAI,i30,1.4l DOHC,M5,1396,Petrol,7.6,5.2,6.1,37.2,54.3,46.3,145,1320,71.0,0.361,0.041,0.011,0.052,,IV
HYUNDAI,i30,1.4l DOHC with ISG,M5,1396,Petrol,6.9,5.0,5.7,40.9,56.5,49.6,135,1232,71.0,0.349,0.047,0.035,0.082,,IV
HYUNDAI,i30,1.6l DOHC,M5,1591,Petrol,8.0,5.2,6.2,35.3,54.3,45.6,152,1340,71.0,0.425,0.031,0.012,0.043,,IV
HYUNDAI,i30,1.6l DOHC,A4,1591,Petrol,9.0,5.7,6.9,31.4,49.6,40.9,165,1494,71.0,0.368,0.034,0.018,0.052,,IV
HYUNDAI,i30,"1.6l DOHC with ISG (15"" & 16"" wheels)",M5,1591,Petrol,7.1,5.1,5.8,39.8,55.4,48.7,139,1255,71.0,0.036,0.040,0.035,0.075,,IV
HYUNDAI,i30,"1.6l DOHC with ISG (17"" wheels)",M5,1591,Petrol,7.3,5.1,5.9,38.7,55.4,47.9,142,1276,71.0,0.036,0.040,0.035,0.075,,IV
HYUNDAI,i30 Estate,1.4l DOHC,M5,1396,Petrol,8.1,5.3,6.3,34.9,53.3,44.8,150,1364,71.0,0.361,0.041,0.011,0.052,,IV
HYUNDAI,i30 Estate,1.4l DOHC with ISG,M5,1396,Petrol,7.1,5.0,5.8,39.8,56.5,48.7,138,1255,71.0,0.349,0.047,0.035,0.082,,IV
HYUNDAI,i30 Estate,1.6l DOHC,M5,1591,Petrol,8.0,5.2,6.2,35.3,54.3,45.6,152,1340,71.0,0.425,0.031,0.012,0.043,,IV
HYUNDAI,i30 Estate,1.6l DOHC with ISG,M5,1591,Petrol,7.3,5.1,5.9,38.7,55.4,47.9,142,1276,71.0,0.036,0.040,0.035,0.075,,IV
HYUNDAI,i30 Estate,1.6l DOHC,A4,1591,Petrol,9.0,5.7,6.9,31.4,49.6,40.9,165,1494,71.0,0.368,0.034,0.018,0.052,,IV
HYUNDAI,Matrix,1.6l DOHC,M5,1599,Petrol,8.8,6.3,7.2,32.1,44.8,39.2,171,1559,74.0,0.360,0.030,0.010,0.040,,IV
HYUNDAI,Matrix,1.6l DOHC,A4,1599,Petrol,11.1,6.6,8.3,25.4,42.8,34.0,198,1797,74.0,0.300,0.030,0.010,0.040,,IV
JAGUAR CARS,S Type,2.7L Diesel Saloon,M6,2720,Diesel,9.3,5.5,6.8,30.4,51.4,41.5,179,1485,73.0,0.334,,0.186,0.230,0.000,IV
JAGUAR CARS,S Type,2.7L Diesel Saloon,A6,2720,Diesel,10.7,6.2,7.8,26.4,45.6,36.0,208,1712,70.0,0.176,,0.180,0.218,0.005,IV
JAGUAR CARS,X Type,2.0L Diesel Saloon,M5,1998,Diesel,7.6,4.5,5.6,37.2,62.8,50.0,149,1233,72.0,0.437,,0.184,0.221,0.021,IV
JAGUAR CARS,X Type,2.0L Diesel Estate,M5,1998,Diesel,7.8,4.7,5.8,36.4,60.0,48.7,154,1266,72.0,0.388,,0.204,0.236,0.021,IV
JAGUAR CARS,X Type,2.2L Diesel Saloon (DPF),M6,2198,Diesel,8.2,4.8,6.0,34.5,58.9,47.1,159,1309,72.0,0.122,,0.202,0.230,0.002,IV
JAGUAR CARS,X Type,2.2L Diesel Saloon (DPF),A6,2198,Diesel,9.5,5.4,6.9,29.6,51.9,41.0,184,1504,69.0,0.043,,0.225,0.238,0.002,IV
JAGUAR CARS,X Type,2.2L Diesel Estate (DPF),M6,2198,Diesel,8.3,4.9,6.2,34.0,57.7,45.6,164,1352,72.0,0.122,,0.202,0.230,0.002,IV
JAGUAR CARS,X Type,2.2L Diesel Estate (DPF),A6,2198,Diesel,9.5,5.4,6.9,29.6,51.9,41.0,184,1504,69.0,0.043,,0.225,0.238,0.002,IV
JAGUAR CARS,X Type,2.2L Diesel Saloon,M6,2198,Diesel,8.3,4.7,6.0,34.0,60.0,47.1,159,1309,75.0,0.044,,0.197,0.214,0.018,IV
JAGUAR CARS,X Type,2.2L Diesel Estate,M6,2198,Diesel,8.4,4.9,6.2,33.6,57.7,45.6,164,1352,75.0,0.044,,0.197,0.214,0.018,IV
JAGUAR CARS,XJ,2.7L Diesel Saloon,A6,2720,Diesel,10.7,6.3,7.9,26.5,44.9,35.7,209,1727,68.0,0.086,,0.179,0.211,0.001,IV
JAGUAR CARS,XF,TDV6 cDPF,A6,2720,Diesel,10.4,5.8,7.5,27.1,48.5,37.5,199,1644,68.0,0.160,,0.194,0.250,0.001,IV
JAGUAR CARS,S Type,3.0L Saloon,M5,2967,Petrol,15.8,7.3,10.3,17.9,38.7,27.4,249,2230,73.0,0.414,0.034,0.026,,,IV
JAGUAR CARS,S Type,3.0L Saloon,A6,2967,Petrol,16.3,7.8,10.8,17.3,36.0,26.2,259,2332,74.0,0.156,0.039,0.029,,,IV
JAGUAR CARS,S Type,4.2L Saloon,A6,4196,Petrol,17.2,8.4,11.5,16.4,33.6,24.6,274,2484,74.0,0.700,0.082,0.022,,,IV
JAGUAR CARS,S Type,4.2L 'R' Saloon,A6,4196,Petrol,18.6,9.3,12.4,15.2,30.4,22.7,294,2692,73.0,0.521,0.049,0.039,,,IV
JAGUAR CARS,X Type,2.5L Saloon,M5,2497,Petrol,13.6,7.2,9.6,20.7,39.0,29.5,234,2071,74.0,0.222,0.037,0.004,,,IV
JAGUAR CARS,X Type,2.5L Saloon,A5,2497,Petrol,15.0,7.6,10.3,18.9,37.3,27.5,244,2222,71.0,0.560,0.037,0.002,,,IV
JAGUAR CARS,X Type,2.5L Estate,M5,2497,Petrol,13.8,7.3,9.7,20.5,38.5,29.0,239,2107,74.0,0.222,0.037,0.004,,,IV
JAGUAR CARS,X Type,2.5L Estate,A5,2497,Petrol,15.2,7.7,10.4,18.6,36.9,27.2,249,2246,71.0,0.560,0.037,0.002,,,IV
JAGUAR CARS,X Type,3.0L Saloon,M5,2967,Petrol,14.8,7.7,10.3,19.1,36.8,27.5,244,2222,74.0,0.370,0.046,0.021,,,IV
JAGUAR CARS,X Type,3.0L Saloon,A5,2967,Petrol,15.1,7.8,10.5,18.7,36.4,26.9,249,2271,72.0,0.308,0.051,0.009,,,IV
JAGUAR CARS,X Type,3.0L Estate,M5,2967,Petrol,14.9,7.8,10.4,19.0,36.4,27.2,249,2246,74.0,0.370,0.046,0.021,,,IV
JAGUAR CARS,X Type,3.0L Estate,A5,2967,Petrol,15.2,7.9,10.6,18.5,35.9,26.6,254,2297,72.0,0.308,0.051,0.009,,,IV
JAGUAR CARS,XJ,3.0L Saloon,A6,2967,Petrol,15.9,7.4,10.5,17.8,37.9,26.9,249,2271,72.0,0.156,0.039,0.029,,,IV
JAGUAR CARS,XJ,3.5L Saloon,A6,3555,Petrol,15.6,7.9,10.7,18.1,35.8,26.5,254,2306,71.0,0.371,0.080,0.025,,,IV
JAGUAR CARS,XJ,4.2L Saloon,A6,4196,Petrol,16.7,8.4,11.4,16.9,33.8,24.8,269,2464,72.0,0.700,0.082,0.022,,,IV
JAGUAR CARS,XJ,4.2L 'Armoured' Saloon,A6,4196,Petrol,19.5,10.7,14.0,14.5,26.4,20.2,330,3025,73.0,0.686,0.058,0.030,,,IV
JAGUAR CARS,XJ,4.2L 'R' Saloon,A6,4196,Petrol,17.9,8.7,12.1,15.8,32.3,23.4,289,2611,74.0,0.521,0.049,0.039,,,IV
JAGUAR CARS,XJ Super V8,4.2L 'R' Saloon,A6,4196,Petrol,17.9,8.7,12.1,15.8,32.3,23.4,289,2611,74.0,0.521,0.049,0.039,,,IV
JAGUAR CARS,XK,3.5L Convertible,A6,3555,Petrol,17.2,8.1,11.3,16.4,34.9,25.0,269,2444,73.0,0.318,0.052,0.009,,,IV
JAGUAR CARS,XK,3.5L Coupé,A6,3555,Petrol,17.2,8.1,11.3,16.4,34.9,25.0,269,2444,72.0,0.318,0.052,0.009,,,IV
JAGUAR CARS,XK,4.2L Convertible,A6,4196,Petrol,17.1,8.1,11.3,16.5,34.9,25.0,269,2444,74.0,0.835,0.079,0.021,,,IV
JAGUAR CARS,XK,4.2L Coupé,A6,4196,Petrol,17.1,8.1,11.3,16.5,34.9,25.0,269,2444,74.0,0.835,0.079,0.021,,,IV
JAGUAR CARS,XK,4.2L Supercharged Convertible,A6,4196,Petrol,19.1,8.6,12.3,14.8,32.9,22.9,294,2668,72.0,0.446,0.049,0.033,,,IV
JAGUAR CARS,XK,4.2L Supercharged Coupé,A6,4196,Petrol,19.1,8.6,12.3,14.8,32.9,22.9,294,2668,71.0,0.469,0.064,0.030,,,IV
JAGUAR CARS,XF,3.0L V6,A6,2967,Petrol,16.1,7.6,10.7,17.6,37.2,26.4,249,2314,71.0,0.300,0.039,0.022,,,IV
JAGUAR CARS,XF,4.2L V8,A6,4196,Petrol,17.3,7.8,11.1,16.3,36.4,25.3,264,2415,70.0,0.420,0.062,0.029,,,IV
JAGUAR CARS,XF,4.2L V8 S/C,A6,4196,Petrol,19.3,9.4,13.0,14.7,30.0,21.7,299,2816,72.0,0.396,0.034,0.031,,,IV
KIA,Rio,1.5 CRDi,M5,1493,Diesel,5.4,4.1,4.5,52.3,68.9,62.8,119,982,71.0,0.180,,0.210,0.228,0.020,IV
KIA,cee'd,1.6 CRDi (Standard Power),M6,1582,Diesel,5.0,3.9,4.3,56.5,72.4,65.7,113,938,70.0,0.142,,0.200,0.226,0.020,IV
KIA,cee'd,1.6 CRDi EcoDynamics,M6,1582,Diesel,4.7,3.9,4.2,60.1,72.4,67.3,110,916,70.0,0.142,,0.200,0.226,0.020,IV
KIA,cee'd,"1.6 CRDi (High Power) (16"" wheels)",M6,1582,Diesel,5.3,4.0,4.5,53.3,70.6,62.8,118,982,72.0,0.184,,0.185,0.222,0.019,IV
KIA,cee'd,"1.6 CRDi (High Power) (17"" wheels)",M6,1582,Diesel,5.3,4.1,4.5,53.3,68.9,62.8,119,982,72.0,0.184,,0.185,0.222,0.019,IV
KIA,cee'd,1.6 CRDi (High Power),A4,1582,Diesel,7.1,4.8,5.7,39.8,58.9,49.6,150,1243,69.0,0.054,,0.208,0.209,0.019,IV
KIA,cee'd SW,1.6 CRDi EcoDynamics,M6,1582,Diesel,5.2,4.1,4.5,54.3,68.9,62.8,119,982,70.0,0.142,,0.200,0.226,0.020,IV
KIA,cee'd SW,"1.6 CRDi (High Power) (16"" wheels)",M6,1582,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,122,1004,72.0,0.184,,0.185,0.222,0.019,IV
KIA,cee'd SW,"1.6 CRDi (High Power) (17"" wheels)",M6,1582,Diesel,5.5,4.3,4.7,51.4,65.7,60.1,124,1026,72.0,0.184,,0.185,0.222,0.019,IV
KIA,cee'd SW,1.6 CRDi (High Power),A4,1582,Diesel,7.4,4.9,5.8,38.2,57.6,48.7,154,1266,69.0,0.054,,0.208,0.209,0.019,IV
KIA,pro_cee'd,1.6 CRDi EcoDynamics,M6,1582,Diesel,4.7,3.9,4.2,60.1,72.4,67.3,110,916,70.0,0.142,,0.200,0.226,0.020,IV
KIA,pro_cee'd,"1.6 CRDi (High Power) (16"" wheels)",M6,1582,Diesel,5.3,4.0,4.5,53.3,70.6,62.8,118,982,72.0,0.184,,0.185,0.222,0.019,IV
KIA,pro_cee'd,"1.6 CRDi (High Power) (17"" wheels)",M6,1582,Diesel,5.3,4.1,4.5,53.3,68.9,62.8,119,982,72.0,0.184,,0.185,0.222,0.019,IV
KIA,Magentis,2.0 CRDi,M6,1991,Diesel,7.8,4.9,6.0,36.2,57.6,47.1,158,1309,69.9,0.260,,0.156,0.176,0.002,IV
KIA,Magentis,2.0 CRDi,A4,1991,Diesel,9.4,5.5,6.9,30.1,51.4,40.9,185,1507,71.2,0.180,,0.126,0.138,0.002,IV
KIA,Carens,"2.0 CRDi (16"" wheels)",M6,1991,Diesel,7.6,5.1,6.0,37.2,55.4,47.1,159,1309,70.2,0.370,,0.200,0.230,0.002,IV
KIA,Carens,"2.0 CRDi (16"" wheels)",A4,1991,Diesel,9.6,5.7,7.1,29.4,49.6,39.8,189,1549,73.7,0.003,,0.190,0.190,0.001,IV
KIA,Sedona,2.9 CRDi Manual,M6,2199,Diesel,8.8,5.6,6.7,32.1,50.4,42.2,179,1461,73.0,0.091,,0.299,0.328,0.001,IV
KIA,Sedona,2.9 CRDi Auto,A4,2199,Diesel,10.0,6.2,7.5,28.2,45.6,37.7,199,1635,72.0,0.070,,0.286,0.317,0.001,IV
KIA,Sportage,2.0 CRDi 4x2,M6,1991,Diesel,8.8,5.9,7.0,32.1,47.9,40.4,184,1526,74.0,0.064,,0.203,0.211,0.004,IV
KIA,Sportage,2.0 CRDi 4x4,M6,1991,Diesel,8.9,6.2,7.1,31.7,45.6,39.8,187,1549,72.0,0.148,,0.218,0.226,0.004,IV
KIA,Sportage,2.0 CRDi 4x2,A4,1991,Diesel,10.3,6.6,8.0,27.4,42.8,35.3,210,1746,71.0,0.097,,0.192,0.194,0.002,IV
KIA,Soul,1.6 CRDI,M5,1582,Diesel,6.3,4.6,5.2,44.8,61.4,54.3,137,1135,72.0,0.160,,0.185,0.212,0.018,IV
KIA,Soul,1.6 CRDI,A4,1582,Diesel,7.5,5.2,5.9,37.7,54.3,47.9,155,1287,72.0,0.035,,0.171,0.171,0.004,IV
KIA,Picanto,1.0,M5,999,Petrol,5.7,4.3,4.8,49.6,65.7,58.8,114,1039,72.0,0.389,0.043,0.013,,,IV
KIA,Picanto,1.1,M5,1086,Petrol,5.8,4.2,4.8,48.7,67.3,58.8,114,1039,72.0,0.496,0.049,0.017,,,IV
KIA,Picanto,1.1,A4,1086,Petrol,7.3,4.9,5.8,38.7,57.6,48.7,137,1255,72.0,0.602,0.040,0.037,,,IV
KIA,Rio,1.4,M5,1399,Petrol,7.3,5.1,5.9,38.7,55.4,47.9,139,1276,72.0,0.388,0.037,0.047,,,IV
KIA,Rio,1.4,A4,1399,Petrol,9.2,5.6,7.0,30.7,50.4,40.4,165,1512,70.0,0.358,0.028,0.014,,,IV
KIA,cee'd,1.4,M5,1396,Petrol,7.2,5.1,5.8,39.2,55.4,48.9,139,1249,71.0,0.615,0.085,0.039,,,IV
KIA,cee'd,"1.6 (16"" wheels)",M5,1591,Petrol,7.8,5.2,6.1,36.6,54.3,46.3,146,1320,72.0,0.544,0.074,0.046,,,IV
KIA,cee'd,"1.6 (17"" wheels)",M5,1591,Petrol,7.9,5.3,6.3,35.3,53.3,44.8,149,1364,72.0,0.544,0.074,0.046,,,IV
KIA,cee'd,1.6,A4,1591,Petrol,8.3,5.7,6.6,34.0,49.6,42.8,158,1428,71.0,0.535,0.054,0.020,,,IV
KIA,cee'd SW,"1.6 (16"" wheels)",M5,1591,Petrol,7.9,5.3,6.2,35.8,53.3,45.6,148,1340,71.0,0.544,0.074,0.046,,,IV
KIA,cee'd SW,"1.6 (17"" wheels)",M5,1591,Petrol,8.0,5.4,6.3,35.3,52.3,44.8,151,1364,71.0,0.544,0.074,0.046,,,IV
KIA,cee'd SW,1.6,A4,1591,Petrol,8.3,5.7,6.6,34.0,49.6,42.8,158,1428,71.0,0.535,0.054,0.020,,,IV
KIA,pro_cee'd,1.4,M5,1396,Petrol,7.2,5.1,5.8,39.2,55.4,48.7,139,1255,71.0,0.615,0.085,0.039,,,IV
KIA,pro_cee'd,"1.6 (16"" wheels)",M5,1591,Petrol,7.8,5.2,6.1,36.2,54.3,46.3,146,1320,72.0,0.544,0.074,0.046,,,IV
KIA,pro_cee'd,"1.6 (17"" wheels)",M5,1591,Petrol,7.9,5.3,6.3,35.8,53.3,44.8,149,1364,71.0,0.544,0.074,0.046,,,IV
KIA,pro_cee'd,1.6,A4,1591,Petrol,8.3,5.7,6.6,34.0,49.6,42.8,158,1428,71.0,0.535,0.054,0.020,,,IV
KIA,Carens,1.6,M5,1591,Petrol,9.0,6.2,7.2,31.4,45.6,39.2,174,1559,71.8,0.600,0.040,0.014,,,IV
KIA,Carens,"2.0 (16"" wheels)",M5,1998,Petrol,10.8,6.6,8.1,26.2,42.8,34.9,193,1751,72.1,0.250,0.020,0.013,,,IV
KIA,Carens,"2.0 (16"" wheels)",A4,1998,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,1818,69.4,0.290,0.020,0.005,,,IV
KIA,Sportage,2.0 4x2,M5,1975,Petrol,10.4,6.6,8.0,27.2,42.8,35.3,190,1731,74.0,0.364,0.031,0.018,,,IV
KIA,Sportage,2.0 4x4,M5,1975,Petrol,10.6,6.8,8.2,26.6,41.5,34.4,194,1776,74.0,0.523,0.034,0.010,0.044,,IV
KIA,Soul,1.6,M5,1591,Petrol,7.9,5.7,6.5,35.8,49.6,43.5,153,1405,71.0,0.386,0.031,0.013,,,IV
KIA,Soul,"1.6 (18"" wheels)",M5,1591,Petrol,8.0,5.8,6.6,35.3,48.7,42.8,156,1428,71.0,0.392,0.030,0.012,,,IV
LAMBORGHINI,Gallardo Model Year 2007,140 Coupé,M6/S6,4961,Petrol,24.8,12.4,17.0,11.4,22.8,16.6,400,3681,74.9,0.680,0.070,0.040,,,IV
LAMBORGHINI,Gallardo Model Year 2007,140 Spider,M6/S6,4961,Petrol,24.8,12.4,17.0,11.4,22.8,16.6,400,3681,74.9,0.680,0.070,0.040,,,IV
LAMBORGHINI,Gallardo Model Year 2009,140 Coupé,M6,5204,Petrol,22.6,10.2,14.7,12.5,27.7,19.2,351,3182,74.3,0.186,0.062,0.030,,,IV
LAMBORGHINI,Gallardo Model Year 2009,140 Coupé,S6,5204,Petrol,20.7,9.6,13.7,13.6,29.4,20.6,325,2966,74.3,0.182,0.057,0.040,,,IV
LAMBORGHINI,Gallardo Model Year 2009,140 Spider,M6,5204,Petrol,22.7,10.3,14.8,12.4,27.4,19.1,354,3199,74.3,0.186,0.062,0.030,,,IV
LAMBORGHINI,Gallardo Model Year 2009,140 Spider,S6,5204,Petrol,20.8,9.7,13.8,13.6,29.1,20.5,330,2980,74.3,0.182,0.057,0.040,,,IV
